episodeIndex,reason,totalReward,validPlacements,invalidPlacements,stepCount,stepScale,wLE,wCGS,wSS,supportRatioMin
3040,completed,1.212143,4,4,4,0.182742,0.742738,0.290437,0.137391,0.801201
3041,failed,-1.187942,3,22,3,0.182742,0.742738,0.290437,0.137391,0.801201
3042,failed,-1.630233,2,28,2,0.182742,0.742738,0.290437,0.137391,0.801201
3043,completed,0.726241,3,10,3,0.182742,0.742738,0.290437,0.137391,0.801201
3044,completed,0.893019,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
3045,failed,-1.387283,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
3046,failed,-1.876072,3,36,3,0.182742,0.742738,0.290437,0.137391,0.801201
3047,completed,0.581491,3,14,3,0.182742,0.742738,0.290437,0.137391,0.801201
3048,failed,-1.402693,2,23,2,0.182742,0.742738,0.290437,0.137391,0.801201
3049,completed,1.185231,4,4,4,0.182742,0.742738,0.290437,0.137391,0.801201
3050,completed,-0.041056,3,27,3,0.182742,0.742738,0.290437,0.137391,0.801201
3051,failed,-1.489923,3,28,3,0.182742,0.742738,0.290437,0.137391,0.801201
3052,failed,-1.362500,4,29,4,0.182742,0.742738,0.290437,0.137391,0.801201
3053,completed,1.296093,5,2,5,0.182742,0.742738,0.290437,0.137391,0.801201
3054,failed,-2.109125,2,38,2,0.182742,0.742738,0.290437,0.137391,0.801201
3055,completed,0.226606,4,25,4,0.182742,0.742738,0.290437,0.137391,0.801201
3056,failed,-1.380107,1,21,1,0.182742,0.742738,0.290437,0.137391,0.801201
3057,failed,-1.304293,4,27,4,0.182742,0.742738,0.290437,0.137391,0.801201
3058,failed,-1.595512,2,28,2,0.182742,0.742738,0.290437,0.137391,0.801201
3059,completed,1.065944,3,3,3,0.182742,0.742738,0.290437,0.137391,0.801201
3060,failed,-1.480498,4,30,4,0.182742,0.742738,0.290437,0.137391,0.801201
3061,completed,0.714856,4,14,4,0.182742,0.742738,0.290437,0.137391,0.801201
3062,completed,0.833254,3,11,3,0.182742,0.742738,0.290437,0.137391,0.801201
3063,failed,-1.605656,2,28,2,0.182742,0.742738,0.290437,0.137391,0.801201
3064,completed,1.119390,3,2,3,0.182742,0.742738,0.290437,0.137391,0.801201
3065,failed,-1.308510,3,24,3,0.182742,0.742738,0.290437,0.137391,0.801201
3066,failed,-1.954499,3,38,3,0.182742,0.742738,0.290437,0.137391,0.801201
3067,failed,-1.313762,2,22,2,0.182742,0.742738,0.290437,0.137391,0.801201
3068,completed,0.833962,3,10,3,0.182742,0.742738,0.290437,0.137391,0.801201
3069,failed,-1.912843,2,34,2,0.182742,0.742738,0.290437,0.137391,0.801201
3070,failed,-1.786894,3,35,3,0.182742,0.742738,0.290437,0.137391,0.801201
3071,failed,-1.797523,2,32,2,0.182742,0.742738,0.290437,0.137391,0.801201
3072,completed,1.088710,3,6,3,0.182742,0.742738,0.290437,0.137391,0.801201
3073,failed,-1.515473,3,29,3,0.182742,0.742738,0.290437,0.137391,0.801201
3074,failed,-2.214872,3,43,3,0.182742,0.742738,0.290437,0.137391,0.801201
3075,failed,-1.890412,2,34,2,0.182742,0.742738,0.290437,0.137391,0.801201
3076,failed,-1.265987,2,21,2,0.182742,0.742738,0.290437,0.137391,0.801201
3077,failed,-1.753005,3,34,3,0.182742,0.742738,0.290437,0.137391,0.801201
3078,failed,-1.326744,2,22,2,0.182742,0.742738,0.290437,0.137391,0.801201
3079,failed,-2.196217,3,43,3,0.182742,0.742738,0.290437,0.137391,0.801201
3080,failed,-1.487882,3,29,3,0.182742,0.742738,0.290437,0.137391,0.801201
3081,completed,0.382366,3,17,3,0.182742,0.742738,0.290437,0.137391,0.801201
3082,completed,1.259667,4,4,4,0.182742,0.742738,0.290437,0.137391,0.801201
3083,failed,-1.407467,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
3084,completed,0.365278,3,20,3,0.182742,0.742738,0.290437,0.137391,0.801201
3085,failed,-1.639242,2,29,2,0.182742,0.742738,0.290437,0.137391,0.801201
3086,failed,-1.308470,2,22,2,0.182742,0.742738,0.290437,0.137391,0.801201
3087,failed,-1.260307,3,24,3,0.182742,0.742738,0.290437,0.137391,0.801201
3088,failed,-1.442242,2,25,2,0.182742,0.742738,0.290437,0.137391,0.801201
3089,failed,-1.112953,3,21,3,0.182742,0.742738,0.290437,0.137391,0.801201
3090,completed,1.046149,3,2,3,0.182742,0.742738,0.290437,0.137391,0.801201
3091,failed,-1.324850,3,25,3,0.182742,0.742738,0.290437,0.137391,0.801201
3092,completed,0.934351,5,13,5,0.182742,0.742738,0.290437,0.137391,0.801201
3093,completed,0.895703,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
3094,completed,0.945577,4,11,4,0.182742,0.742738,0.290437,0.137391,0.801201
3095,failed,-1.131627,3,21,3,0.182742,0.742738,0.290437,0.137391,0.801201
3096,failed,-1.277071,4,26,4,0.182742,0.742738,0.290437,0.137391,0.801201
3097,failed,-1.735095,4,36,4,0.182742,0.742738,0.290437,0.137391,0.801201
3098,completed,0.946415,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
3099,failed,-1.512527,2,26,2,0.182742,0.742738,0.290437,0.137391,0.801201
3100,completed,0.994791,5,10,5,0.182742,0.742738,0.290437,0.137391,0.801201
3101,completed,1.193139,3,0,3,0.182742,0.742738,0.290437,0.137391,0.801201
3102,completed,-0.517209,5,41,5,0.182742,0.742738,0.290437,0.137391,0.801201
3103,failed,-1.410256,3,27,3,0.182742,0.742738,0.290437,0.137391,0.801201
3104,completed,0.824833,4,11,4,0.182742,0.742738,0.290437,0.137391,0.801201
3105,failed,-1.708232,2,30,2,0.182742,0.742738,0.290437,0.137391,0.801201
3106,failed,-1.344308,3,25,3,0.182742,0.742738,0.290437,0.137391,0.801201
3107,failed,-1.719946,4,35,4,0.182742,0.742738,0.290437,0.137391,0.801201
3108,completed,0.664437,4,14,4,0.182742,0.742738,0.290437,0.137391,0.801201
3109,failed,-1.744269,3,33,3,0.182742,0.742738,0.290437,0.137391,0.801201
3110,completed,0.954207,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
